slice_id,run_id,operator_id,slice_number,width_mm
slice_00070,run_004,molly,18,4.254
slice_00071,run_004,molly,19,3.696
slice_00072,run_004,molly,20,4.2
slice_00073,run_005,molly,1,3.981
slice_00074,run_005,molly,2,4.394
slice_00075,run_005,molly,3,4.267
slice_00076,run_005,molly,4,4.591
slice_00077,run_005,molly,5,4.261
slice_00078,run_005,molly,6,3.562
slice_00079,run_005,molly,7,4.019
slice_00080,run_005,molly,8,3.683
slice_00081,run_005,molly,9,3.882
slice_00082,run_005,molly,10,4.497
slice_00083,run_005,molly,11,4.232
slice_00084,run_005,molly,12,3.827
slice_00085,run_005,molly,13,3.731
slice_00086,run_005,molly,14,4.049
slice_00087,run_005,molly,15,3.67
slice_00088,run_005,molly,16,3.835
slice_00089,run_005,molly,17,4.134
slice_00090,run_005,molly,18,4.389
slice_00091,run_006,molly,1,4.253
slice_00092,run_006,molly,2,3.315
slice_00093,run_006,molly,3,4.155
slice_00094,run_006,molly,4,4.08
slice_00095,run_006,molly,5,4.19
slice_00096,run_006,molly,6,4.579
slice_00097,run_006,molly,7,3.389
slice_00098,run_006,molly,8,3.865
slice_00099,run_006,molly,9,4.247
slice_00100,run_006,molly,10,3.545
slice_00101,run_006,molly,11,4.534
slice_00102,run_006,molly,12,4.175
slice_00103,run_006,molly,13,4.33
slice_00104,run_006,molly,14,3.872
slice_00105,run_006,molly,15,4.32
slice_00106,run_006,molly,16,4.402
slice_00107,run_006,molly,17,4.132
slice_00108,run_007,molly,1,4.078
slice_00109,run_007,molly,2,4.087
slice_00110,run_007,molly,3,3.801
slice_00111,run_007,molly,4,3.981
slice_00112,run_007,molly,5,3.98
slice_00113,run_007,molly,6,4.115
slice_00114,run_007,molly,7,4.27
slice_00115,run_007,molly,8,3.752
slice_00116,run_007,molly,9,3.987
slice_00117,run_007,molly,10,4.392
slice_00118,run_007,molly,11,3.831
slice_00119,run_007,molly,12,3.811
slice_00120,run_007,molly,13,4.069
slice_00121,run_007,molly,14,4.231
slice_00122,run_007,molly,15,4.021
slice_00123,run_007,molly,16,4.353
slice_00124,run_007,molly,17,4.234
slice_00125,run_008,molly,1,4.294
slice_00126,run_008,molly,2,4.209
slice_00127,run_008,molly,3,4.736
slice_00128,run_008,molly,4,3.983
slice_00129,run_008,molly,5,3.448
slice_00130,run_008,molly,6,4.521
slice_00131,run_008,molly,7,3.908
slice_00132,run_008,molly,8,4.076
slice_00133,run_008,molly,9,4.434
slice_00134,run_008,molly,10,3.567
slice_00135,run_008,molly,11,3.672
slice_00136,run_008,molly,12,3.568
slice_00137,run_008,molly,13,3.808
slice_00138,run_008,molly,14,4.175
slice_00139,run_008,molly,15,4.2
slice_00140,run_008,molly,16,4.126
slice_00141,run_009,molly,1,3.456
slice_00142,run_009,molly,2,3.132
slice_00143,run_009,molly,3,3.986
slice_00144,run_009,molly,4,3.796
slice_00145,run_009,molly,5,4.132
slice_00146,run_009,molly,6,4.219
slice_00147,run_009,molly,7,4.016
slice_00148,run_009,molly,8,4.24
slice_00149,run_009,molly,9,4.049
slice_00150,run_009,molly,10,4.157
slice_00151,run_009,molly,11,3.711
slice_00152,run_009,molly,12,3.901
slice_00153,run_009,molly,13,4.037
slice_00154,run_009,molly,14,4.262
slice_00155,run_009,molly,15,3.824
slice_00156,run_010,molly,1,4.137
slice_00157,run_010,molly,2,3.918
slice_00158,run_010,molly,3,3.96
slice_00159,run_010,molly,4,4.223
slice_00160,run_010,molly,5,3.437
slice_00161,run_010,molly,6,3.631
slice_00162,run_010,molly,7,3.579
slice_00163,run_010,molly,8,3.342
slice_00164,run_010,molly,9,3.803
slice_00165,run_010,molly,10,4.201
slice_00166,run_010,molly,11,3.913
slice_00167,run_010,molly,12,4.047
slice_00168,run_010,molly,13,4.296
slice_00169,run_010,molly,14,4.362
slice_00170,run_010,molly,15,3.973
slice_00171,run_010,molly,16,4.369
slice_00172,run_010,molly,17,4.018
slice_00173,run_010,molly,18,3.759
slice_00174,run_010,molly,19,3.827
slice_00175,run_011,molly,1,3.555
slice_00176,run_011,molly,2,3.744
slice_00177,run_011,molly,3,3.913
slice_00178,run_011,molly,4,4.282
slice_00179,run_011,molly,5,4.574
slice_00180,run_011,molly,6,3.587
slice_00181,run_011,molly,7,4.152
slice_00182,run_011,molly,8,3.695
slice_00183,run_011,molly,9,4.178
slice_00184,run_011,molly,10,3.985
slice_00185,run_011,molly,11,3.444
slice_00186,run_011,molly,12,4.322
slice_00187,run_011,molly,13,3.834
slice_00188,run_011,molly,14,3.857
slice_00189,run_011,molly,15,3.686
slice_00190,run_011,molly,16,3.818
slice_00191,run_011,molly,17,4.163
slice_00192,run_011,molly,18,3.966
slice_00193,run_011,molly,19,4.131
slice_00194,run_012,molly,1,4.137
slice_00195,run_012,molly,2,4.445
slice_00196,run_012,molly,3,3.91
slice_00197,run_012,molly,4,3.546
slice_00198,run_012,molly,5,4.364
slice_00199,run_012,molly,6,3.914
slice_00200,run_012,molly,7,4.379
slice_00201,run_012,molly,8,4.144
slice_00202,run_012,molly,9,3.978
slice_00203,run_012,molly,10,4.133
slice_00204,run_012,molly,11,4.648
slice_00205,run_012,molly,12,4.688
slice_00206,run_012,molly,13,4.043
slice_00207,run_012,molly,14,4.072
slice_00208,run_012,molly,15,4.367
slice_00209,run_012,molly,16,3.749
slice_00210,run_013,molly,1,4.071
slice_00211,run_013,molly,2,3.973
slice_00212,run_013,molly,3,4.066
slice_00213,run_013,molly,4,3.751
slice_00214,run_013,molly,5,3.544
slice_00215,run_013,molly,6,3.411
slice_00216,run_013,molly,7,3.673
slice_00217,run_013,molly,8,3.854
slice_00218,run_013,molly,9,3.899
slice_00219,run_013,molly,10,4.511
slice_00220,run_013,molly,11,4.283
slice_00221,run_013,molly,12,3.716
slice_00222,run_013,molly,13,4.075
slice_00223,run_013,molly,14,3.868
slice_00224,run_013,molly,15,3.902
slice_00225,run_013,molly,16,4.031
slice_00226,run_013,molly,17,4.15
slice_00227,run_013,molly,18,3.887
slice_00228,run_013,molly,19,4.272
slice_00229,run_013,molly,20,3.666
slice_00230,run_014,molly,1,3.961
slice_00231,run_014,molly,2,4.819
slice_00232,run_014,molly,3,4.033
slice_00233,run_014,molly,4,4.433
slice_00234,run_014,molly,5,3.99
slice_00235,run_014,molly,6,4.151
slice_00236,run_014,molly,7,3.941
slice_00237,run_014,molly,8,3.903
slice_00238,run_014,molly,9,3.701
slice_00239,run_014,molly,10,4.102
slice_00240,run_014,molly,11,3.678
slice_00241,run_014,molly,12,4.179
slice_00242,run_014,molly,13,4.318
slice_00243,run_014,molly,14,4.081
slice_00244,run_014,molly,15,3.865
slice_00245,run_014,molly,16,4.109
slice_00246,run_014,molly,17,3.857
slice_00247,run_014,molly,18,4.269
slice_00248,run_014,molly,19,3.353
slice_00249,run_015,molly,1,3.908
slice_00250,run_015,molly,2,3.481
slice_00251,run_015,molly,3,3.609
slice_00252,run_015,molly,4,4.346
slice_00253,run_015,molly,5,4.225
slice_00254,run_015,molly,6,3.809
slice_00255,run_015,molly,7,3.607
slice_00256,run_015,molly,8,3.229
slice_00257,run_015,molly,9,3.854
slice_00258,run_015,molly,10,4.619
slice_00259,run_015,molly,11,4.106
slice_00260,run_015,molly,12,3.85
slice_00261,run_015,molly,13,4.114
slice_00262,run_015,molly,14,3.592
slice_00263,run_015,molly,15,3.918
slice_00264,run_015,molly,16,4.02
slice_00265,run_015,molly,17,3.972
slice_00266,run_015,molly,18,4.198
slice_00267,run_015,molly,19,4.083
slice_00268,run_016,molly,1,4.181
slice_00269,run_016,molly,2,3.73
slice_00270,run_016,molly,3,4.257
slice_00271,run_016,molly,4,4.5
slice_00272,run_016,molly,5,3.636
slice_00273,run_016,molly,6,3.664
slice_00274,run_016,molly,7,4.403
slice_00275,run_016,molly,8,3.895
slice_00276,run_016,molly,9,4.426
slice_00277,run_016,molly,10,3.812
slice_00278,run_016,molly,11,4.443
slice_00279,run_016,molly,12,4.002
slice_00280,run_016,molly,13,4.045
slice_00281,run_016,molly,14,4.479
slice_00282,run_016,molly,15,3.838
slice_00283,run_016,molly,16,3.646
slice_00284,run_017,molly,1,3.908
slice_00285,run_017,molly,2,4.148
slice_00286,run_017,molly,3,3.61
slice_00287,run_017,molly,4,4.197
slice_00288,run_017,molly,5,3.883
slice_00289,run_017,molly,6,4.333
slice_00290,run_017,molly,7,3.389
slice_00291,run_017,molly,8,3.817
slice_00292,run_017,molly,9,3.577
slice_00293,run_017,molly,10,3.807
slice_00294,run_017,molly,11,4.093
slice_00295,run_017,molly,12,3.979
slice_00296,run_017,molly,13,3.96
slice_00297,run_017,molly,14,3.985
slice_00298,run_017,molly,15,4.081
slice_00299,run_017,molly,16,3.758
slice_00300,run_017,molly,17,4.216
slice_00301,run_017,molly,18,4.204
slice_00302,run_017,molly,19,4.13
slice_00303,run_017,molly,20,4.176
slice_00304,run_018,molly,1,4.102
slice_00305,run_018,molly,2,4.634
slice_00306,run_018,molly,3,3.985
slice_00307,run_018,molly,4,3.918
slice_00308,run_018,molly,5,3.781
slice_00309,run_018,molly,6,3.696
slice_00310,run_018,molly,7,3.631
slice_00311,run_018,molly,8,3.74
slice_00312,run_018,molly,9,3.99
slice_00313,run_018,molly,10,4.114
slice_00314,run_018,molly,11,4.027
slice_00315,run_018,molly,12,3.777
slice_00316,run_018,molly,13,4.287
slice_00317,run_018,molly,14,4.238
slice_00318,run_018,molly,15,3.963
slice_00319,run_018,molly,16,3.812
slice_00320,run_018,molly,17,4.179
slice_00321,run_019,molly,1,4.102
slice_00322,run_019,molly,2,3.593
slice_00323,run_019,molly,3,4.022
slice_00324,run_019,molly,4,4.125
slice_00325,run_019,molly,5,3.764
slice_00326,run_019,molly,6,4.103
slice_00327,run_019,molly,7,3.591
slice_00328,run_019,molly,8,4.459
slice_00329,run_019,molly,9,4.432
slice_00330,run_019,molly,10,3.965
slice_00331,run_019,molly,11,4.157
slice_00332,run_019,molly,12,3.294
slice_00333,run_019,molly,13,3.684
slice_00334,run_019,molly,14,3.952
slice_00335,run_019,molly,15,3.71
slice_00336,run_019,molly,16,4.266
slice_00337,run_019,molly,17,4.665
slice_00338,run_019,molly,18,3.677
slice_00339,run_019,molly,19,3.783
slice_00340,run_019,molly,20,4.117
slice_00341,run_020,molly,1,4.523
slice_00342,run_020,molly,2,3.663
slice_00343,run_020,molly,3,4.109
slice_00344,run_020,molly,4,4.586
slice_00345,run_020,molly,5,3.533
slice_00346,run_020,molly,6,3.645
slice_00347,run_020,molly,7,3.905
slice_00348,run_020,molly,8,3.876
slice_00349,run_020,molly,9,4.28
slice_00350,run_020,molly,10,4.107
slice_00351,run_020,molly,11,3.495
slice_00352,run_020,molly,12,4.19
slice_00353,run_020,molly,13,3.859
slice_00354,run_020,molly,14,4.421
slice_00355,run_020,molly,15,3.844
slice_00356,run_020,molly,16,3.841
slice_00357,run_021,molly,1,4.154
slice_00358,run_021,molly,2,4.205
slice_00359,run_021,molly,3,4.133
slice_00360,run_021,molly,4,3.649
slice_00361,run_021,molly,5,4.154
slice_00362,run_021,molly,6,3.797
slice_00363,run_021,molly,7,4.085
slice_00364,run_021,molly,8,3.708
slice_00365,run_021,molly,9,4.133
slice_00366,run_021,molly,10,3.848
slice_00367,run_021,molly,11,3.74
slice_00368,run_021,molly,12,4.194
slice_00369,run_021,molly,13,4.086
slice_00370,run_021,molly,14,3.892
slice_00371,run_021,molly,15,4.361
slice_00372,run_021,molly,16,3.931
slice_00373,run_021,molly,17,4.039
slice_00374,run_021,molly,18,4.093
slice_00375,run_021,molly,19,3.891
slice_00376,run_022,molly,1,4.114
slice_00377,run_022,molly,2,3.837
slice_00378,run_022,molly,3,3.87
slice_00379,run_022,molly,4,4.361
slice_00380,run_022,molly,5,3.696
slice_00381,run_022,molly,6,3.317
slice_00382,run_022,molly,7,4.429
slice_00383,run_022,molly,8,4.689
slice_00384,run_022,molly,9,3.872
slice_00385,run_022,molly,10,3.449
slice_00386,run_022,molly,11,3.898
slice_00387,run_022,molly,12,3.905
slice_00388,run_022,molly,13,3.932
slice_00389,run_022,molly,14,3.676
slice_00390,run_022,molly,15,4.144
slice_00391,run_022,molly,16,4.129
slice_00392,run_022,molly,17,3.571
slice_00393,run_022,molly,18,4.177
slice_00394,run_022,molly,19,4.552
slice_00395,run_023,molly,1,4.051
slice_00396,run_023,molly,2,3.86
slice_00397,run_023,molly,3,3.933
slice_00398,run_023,molly,4,4.217
slice_00399,run_023,molly,5,3.338
slice_00400,run_023,molly,6,4.048
slice_00401,run_023,molly,7,3.84
slice_00402,run_023,molly,8,4.679
slice_00403,run_023,molly,9,3.921
slice_00404,run_023,molly,10,4.611
slice_00405,run_023,molly,11,3.573
slice_00406,run_023,molly,12,4.206
slice_00407,run_023,molly,13,4.106
slice_00408,run_023,molly,14,3.661
slice_00409,run_023,molly,15,4.053
slice_00410,run_023,molly,16,4.441
slice_00411,run_023,molly,17,3.865
slice_00412,run_023,molly,18,3.352
slice_00413,run_024,molly,1,3.951
slice_00414,run_024,molly,2,3.642
slice_00415,run_024,molly,3,3.837
slice_00416,run_024,molly,4,3.928
slice_00417,run_024,molly,5,3.362
slice_00418,run_024,molly,6,3.394
slice_00419,run_024,molly,7,4.125
slice_00420,run_024,molly,8,3.775
slice_00421,run_024,molly,9,3.063
slice_00422,run_024,molly,10,4.23
slice_00423,run_024,molly,11,4.052
slice_00424,run_024,molly,12,3.708
slice_00425,run_024,molly,13,3.498
slice_00426,run_024,molly,14,4.248
slice_00427,run_024,molly,15,4.078
slice_00428,run_024,molly,16,4.787
slice_00429,run_024,molly,17,4.103
slice_00430,run_024,molly,18,4.092
slice_00431,run_025,molly,1,3.932
slice_00432,run_025,molly,2,4.235
slice_00433,run_025,molly,3,4.176
slice_00434,run_025,molly,4,4.369
slice_00435,run_025,molly,5,3.823
slice_00436,run_025,molly,6,3.849
slice_00437,run_025,molly,7,3.836
slice_00438,run_025,molly,8,4.227
slice_00439,run_025,molly,9,4.445
slice_00440,run_025,molly,10,3.842
slice_00441,run_025,molly,11,3.852
slice_00442,run_025,molly,12,4.08
slice_00443,run_025,molly,13,3.908
slice_00444,run_025,molly,14,4.277
slice_00445,run_025,molly,15,3.289
slice_00446,run_025,molly,16,3.729
slice_00447,run_025,molly,17,3.742
slice_00448,run_025,molly,18,3.268
slice_00449,run_025,molly,19,3.686
slice_00450,run_025,molly,20,3.701
slice_00451,run_026,georgia,1,3.887
slice_00452,run_026,georgia,2,4.816
slice_00453,run_026,georgia,3,3.856
slice_00454,run_026,georgia,4,3.301
slice_00455,run_026,georgia,5,3.989
slice_00456,run_026,georgia,6,4.771
slice_00457,run_026,georgia,7,3.339
slice_00458,run_026,georgia,8,3.386
slice_00459,run_026,georgia,9,4.424
slice_00460,run_026,georgia,10,3.873
slice_00461,run_026,georgia,11,4.487
slice_00462,run_026,georgia,12,4.02
slice_00463,run_026,georgia,13,4.525
slice_00464,run_026,georgia,14,3.298
slice_00465,run_026,georgia,15,4.021
slice_00466,run_026,georgia,16,3.88
slice_00467,run_026,georgia,17,3.17
slice_00468,run_026,georgia,18,2.924
slice_00469,run_027,georgia,1,4.403
slice_00470,run_027,georgia,2,3.767
slice_00471,run_027,georgia,3,3.356
slice_00472,run_027,georgia,4,3.924
slice_00473,run_027,georgia,5,4.674
slice_00474,run_027,georgia,6,2.584
slice_00475,run_027,georgia,7,3.065
slice_00476,run_027,georgia,8,3.417
slice_00477,run_027,georgia,9,4.878
slice_00478,run_027,georgia,10,4.156
slice_00479,run_027,georgia,11,4.453
slice_00480,run_027,georgia,12,3.284
slice_00481,run_027,georgia,13,3.296
slice_00482,run_027,georgia,14,4.257
slice_00483,run_027,georgia,15,4.018
slice_00484,run_027,georgia,16,4.319
slice_00485,run_027,georgia,17,3.868
slice_00486,run_027,georgia,18,4.153
slice_00487,run_027,georgia,19,4.079
slice_00488,run_028,georgia,1,4.537
slice_00489,run_028,georgia,2,4.555
slice_00490,run_028,georgia,3,3.015
slice_00491,run_028,georgia,4,2.617
slice_00492,run_028,georgia,5,4.679
slice_00493,run_028,georgia,6,4.797
slice_00494,run_028,georgia,7,3.395
slice_00495,run_028,georgia,8,2.862
slice_00496,run_028,georgia,9,4.106
slice_00497,run_028,georgia,10,4.634
slice_00498,run_028,georgia,11,5.184
slice_00499,run_028,georgia,12,4.371
slice_00500,run_028,georgia,13,3.807
slice_00501,run_028,georgia,14,3.476
slice_00502,run_028,georgia,15,4.05
slice_00503,run_028,georgia,16,3.853
slice_00504,run_029,georgia,1,3.358
slice_00505,run_029,georgia,2,5.124
slice_00506,run_029,georgia,3,4.972
slice_00507,run_029,georgia,4,4.598
slice_00508,run_029,georgia,5,3.413
slice_00509,run_029,georgia,6,4.436
slice_00510,run_029,georgia,7,4.312
slice_00511,run_029,georgia,8,4.198
slice_00512,run_029,georgia,9,4.664
slice_00513,run_029,georgia,10,4.31
slice_00514,run_029,georgia,11,4.37
slice_00515,run_029,georgia,12,4.31
slice_00516,run_029,georgia,13,4.14
slice_00517,run_029,georgia,14,2.915
slice_00518,run_029,georgia,15,3.992
slice_00519,run_029,georgia,16,3.623
slice_00520,run_029,georgia,17,3.206
slice_00521,run_029,georgia,18,4.913
slice_00522,run_029,georgia,19,4.94
slice_00523,run_029,georgia,20,4.727
slice_00524,run_030,georgia,1,4.194
slice_00525,run_030,georgia,2,4.918
slice_00526,run_030,georgia,3,4.033
slice_00527,run_030,georgia,4,4.159
slice_00528,run_030,georgia,5,3.302
slice_00529,run_030,georgia,6,4.287
slice_00530,run_030,georgia,7,4.065
slice_00531,run_030,georgia,8,3.163
slice_00532,run_030,georgia,9,3.991
slice_00533,run_030,georgia,10,3.972
slice_00534,run_030,georgia,11,5.214
slice_00535,run_030,georgia,12,4.616
slice_00536,run_030,georgia,13,4.032
slice_00537,run_030,georgia,14,4.189
slice_00538,run_030,georgia,15,4.054
slice_00539,run_030,georgia,16,3.891
slice_00540,run_030,georgia,17,3.309
slice_00541,run_030,georgia,18,3.925
slice_00542,run_030,georgia,19,3.531
slice_00543,run_030,georgia,20,3.198
slice_00544,run_031,georgia,1,4.317
slice_00545,run_031,georgia,2,4.238
slice_00546,run_031,georgia,3,2.795
slice_00547,run_031,georgia,4,3.897
slice_00548,run_031,georgia,5,4.638
slice_00549,run_031,georgia,6,4.681
slice_00550,run_031,georgia,7,4.658
slice_00551,run_031,georgia,8,4.004
slice_00552,run_031,georgia,9,3.419
slice_00553,run_031,georgia,10,3.26
slice_00554,run_031,georgia,11,4.207
slice_00555,run_031,georgia,12,4.23
slice_00556,run_031,georgia,13,4.832
slice_00557,run_031,georgia,14,4.708
slice_00558,run_031,georgia,15,3.891
slice_00559,run_031,georgia,16,3.154
slice_00560,run_031,georgia,17,3.767
slice_00561,run_032,georgia,1,4.167
slice_00562,run_032,georgia,2,3.905
slice_00563,run_032,georgia,3,3.67
slice_00564,run_032,georgia,4,4.189
slice_00565,run_032,georgia,5,3.716
slice_00566,run_032,georgia,6,3.639
slice_00567,run_032,georgia,7,4.226
slice_00568,run_032,georgia,8,3.78
slice_00569,run_032,georgia,9,4.184
slice_00570,run_032,georgia,10,4.202
slice_00571,run_032,georgia,11,3.319
slice_00572,run_032,georgia,12,3.73
slice_00573,run_032,georgia,13,4.93
slice_00574,run_032,georgia,14,3.305
slice_00575,run_032,georgia,15,2.708
slice_00576,run_032,georgia,16,2.867
slice_00577,run_032,georgia,17,4.049
slice_00578,run_032,georgia,18,4.051
slice_00579,run_033,georgia,1,3.894
slice_00580,run_033,georgia,2,4.721
slice_00581,run_033,georgia,3,2.307
slice_00582,run_033,georgia,4,4.213
slice_00583,run_033,georgia,5,4.936
slice_00584,run_033,georgia,6,3.267
slice_00585,run_033,georgia,7,3.731
slice_00586,run_033,georgia,8,3.499
slice_00587,run_033,georgia,9,3.412
slice_00588,run_033,georgia,10,3.764
slice_00589,run_033,georgia,11,4.853
slice_00590,run_033,georgia,12,5.108
slice_00591,run_033,georgia,13,3.758
slice_00592,run_033,georgia,14,5.15
slice_00593,run_033,georgia,15,3.989
slice_00594,run_033,georgia,16,5.056
slice_00595,run_033,georgia,17,3.909
slice_00596,run_034,georgia,1,4.054
slice_00597,run_034,georgia,2,4.184
slice_00598,run_034,georgia,3,5.743
slice_00599,run_034,georgia,4,4.453
slice_00600,run_034,georgia,5,3.589
slice_00601,run_034,georgia,6,4.518
slice_00602,run_034,georgia,7,3.78
slice_00603,run_034,georgia,8,3.709
slice_00604,run_034,georgia,9,4.485
slice_00605,run_034,georgia,10,3.998
slice_00606,run_034,georgia,11,4.135
slice_00607,run_034,georgia,12,3.989
slice_00608,run_034,georgia,13,4.167
slice_00609,run_034,georgia,14,4.216
slice_00610,run_034,georgia,15,2.907
slice_00611,run_034,georgia,16,4.35
slice_00612,run_034,georgia,17,3.437
slice_00613,run_034,georgia,18,3.181
slice_00614,run_034,georgia,19,3.949
slice_00615,run_035,georgia,1,4.031
slice_00616,run_035,georgia,2,3.525
slice_00617,run_035,georgia,3,4.518
slice_00618,run_035,georgia,4,3.103
slice_00619,run_035,georgia,5,3.712
slice_00620,run_035,georgia,6,3.596
slice_00621,run_035,georgia,7,3.946
slice_00622,run_035,georgia,8,4.158
slice_00623,run_035,georgia,9,3.32
slice_00624,run_035,georgia,10,4.448
slice_00625,run_035,georgia,11,4.018
slice_00626,run_035,georgia,12,2.745
slice_00627,run_035,georgia,13,2.701
slice_00628,run_035,georgia,14,3.969
slice_00629,run_035,georgia,15,3.833
slice_00630,run_035,georgia,16,3.909
slice_00631,run_035,georgia,17,3.958
slice_00632,run_035,georgia,18,4.123
slice_00633,run_035,georgia,19,4.593
slice_00634,run_036,georgia,1,3.262
slice_00635,run_036,georgia,2,3.22
slice_00636,run_036,georgia,3,3.274
slice_00637,run_036,georgia,4,4.222
slice_00638,run_036,georgia,5,4.878
slice_00639,run_036,georgia,6,3.728
slice_00640,run_036,georgia,7,2.309
slice_00641,run_036,georgia,8,2.856
slice_00642,run_036,georgia,9,3.453
slice_00643,run_036,georgia,10,3.642
slice_00644,run_036,georgia,11,3.744
slice_00645,run_036,georgia,12,4.05
slice_00646,run_036,georgia,13,3.81
slice_00647,run_036,georgia,14,4.744
slice_00648,run_036,georgia,15,3.56
slice_00649,run_036,georgia,16,3.433
slice_00650,run_036,georgia,17,4.352
slice_00651,run_037,georgia,1,3.049
slice_00652,run_037,georgia,2,4.235
slice_00653,run_037,georgia,3,4.058
slice_00654,run_037,georgia,4,3.904
slice_00655,run_037,georgia,5,4.974
slice_00656,run_037,georgia,6,3.612
slice_00657,run_037,georgia,7,5.264
slice_00658,run_037,georgia,8,3.856
slice_00659,run_037,georgia,9,3.208
slice_00660,run_037,georgia,10,4.038
slice_00661,run_037,georgia,11,3.332
slice_00662,run_037,georgia,12,3.532
slice_00663,run_037,georgia,13,4.24
slice_00664,run_037,georgia,14,4.337
slice_00665,run_037,georgia,15,3.612
slice_00666,run_037,georgia,16,4.603
slice_00667,run_037,georgia,17,4.708
slice_00668,run_038,georgia,1,4.736
slice_00669,run_038,georgia,2,4.269
slice_00670,run_038,georgia,3,4.698
slice_00671,run_038,georgia,4,3.027
slice_00672,run_038,georgia,5,3.832
slice_00673,run_038,georgia,6,3.549
slice_00674,run_038,georgia,7,4.057
slice_00675,run_038,georgia,8,3.702
slice_00676,run_038,georgia,9,3.91
slice_00677,run_038,georgia,10,4.965
slice_00678,run_038,georgia,11,3.909
slice_00679,run_038,georgia,12,4.209
slice_00680,run_038,georgia,13,3.876
slice_00681,run_038,georgia,14,4.035
slice_00682,run_038,georgia,15,3.999
slice_00683,run_038,georgia,16,4.227
slice_00684,run_038,georgia,17,4.596
slice_00685,run_039,georgia,1,4.873
slice_00686,run_039,georgia,2,4.11
slice_00687,run_039,georgia,3,4.27
slice_00688,run_039,georgia,4,3.278
slice_00689,run_039,georgia,5,3.884
slice_00690,run_039,georgia,6,4.47
slice_00691,run_039,georgia,7,4.428
slice_00692,run_039,georgia,8,4.055
slice_00693,run_039,georgia,9,4.439
slice_00694,run_039,georgia,10,4.214
slice_00695,run_039,georgia,11,4.618
slice_00696,run_039,georgia,12,4.099
slice_00697,run_039,georgia,13,3.731
slice_00698,run_039,georgia,14,4.125
slice_00699,run_039,georgia,15,2.263
slice_00700,run_039,georgia,16,4.152
slice_00701,run_039,georgia,17,1.853
slice_00702,run_039,georgia,18,2.951
slice_00703,run_039,georgia,19,4.191
slice_00704,run_039,georgia,20,4.206
slice_00705,run_040,georgia,1,3.349
slice_00706,run_040,georgia,2,3.609
slice_00707,run_040,georgia,3,4.812
slice_00708,run_040,georgia,4,3.74
slice_00709,run_040,georgia,5,5.315
slice_00710,run_040,georgia,6,4.019
slice_00711,run_040,georgia,7,4.256
slice_00712,run_040,georgia,8,4.954
slice_00713,run_040,georgia,9,4.096
slice_00714,run_040,georgia,10,3.441
slice_00715,run_040,georgia,11,3.957
slice_00716,run_040,georgia,12,3.999
slice_00717,run_040,georgia,13,3.232
slice_00718,run_040,georgia,14,3.872
slice_00719,run_040,georgia,15,3.591
slice_00720,run_041,georgia,1,4.639
