video_id,step,task,action,start_sec,end_sec,condition,condition_response,source
georgia,Trim and slice the remaining section,Trim scrap from the section's edge,"The operator draws the knife down through the piece again, separating a larger square-edged scrap from the remaining section and leaving a smaller cube-shaped piece of flesh in hand.",20,21,,,both
georgia,Trim and slice the remaining section,Cut the trimmed piece into slices,"The operator holds the cube-shaped piece upright between the thumb and fingers of the left hand, positioning it against the knife blade for the next cut.",21,22,,,visual
georgia,Trim and slice the remaining section,Cut the trimmed piece into slices,"The operator draws the knife down through the piece, cutting a thin scrap of skin free that falls to the right of the blade.",22,24,,,both
georgia,Trim and slice the remaining section,Cut the trimmed piece into slices,"The operator draws the blade down again, cutting a slice from the piece and letting it fall to the right side of the board.",24,25,,,both
georgia,Trim and slice the remaining section,Cut the trimmed piece into slices,The operator repositions the remaining piece slightly with the left hand and cuts another slice free with a downward stroke of the blade.,25,26,,,both
georgia,Trim and slice the remaining section,Cut the trimmed piece into slices,"The operator cuts a further slice from the piece, adding it to the small group of slices forming on the right side of the board.",26,27,,,both
georgia,Trim and slice the remaining section,Cut the trimmed piece into slices,"The operator continues cutting slices from the piece in quick downward strokes, each falling into the growing pile on the right.",27,28,,,both
georgia,Trim and slice the remaining section,Cut the trimmed piece into slices,"The operator cuts the final slice from the remaining piece of the section, completing the pile of slices, and remarks 'there we go'.",28,29,,,both
georgia,Trim and slice the remaining section,Consolidate the slices,"The operator sweeps the flat of the right hand across the cut pieces, gathering them into a compact pile at the top-right of the board.",29,30,,,visual
georgia,Trim and slice the remaining section,Consolidate the slices,"The operator withdraws the hand, leaving the pile of slices and the single reserved slice separated on the board, with the knife set down at the right edge, and states that the apple is done.",30,31,,,both
molly1,Prepare the apple,Inspect the apple for blemishes,"The operator picks up the apple and examines it, noticing a bruised spot on one side.",0,2,,,narrated
molly1,Prepare the apple,Inspect the apple for blemishes,The operator decides to cut on the bruised side of the apple first.,0,2,a little bruised spot on the apple,adjusted,narrated
molly1,Section the apple,Free the first section from the apple,"The operator holds the just-severed first section of apple in their left hand, its pale cut face turned upward, while withdrawing the knife blade in their right hand to the side.",2,3,,,visual
molly1,Section the apple,Free the first section from the apple,"The operator turns the section slightly against their curled fingers and brings the knife blade back to its edge, pressing to start a new cut.",3,4,,,visual
molly1,Section the apple,Free the first section from the apple,"The operator completes the downward cut, separating a small section, and shifts their grip to hold the rounder remaining body of the apple in their palm.",4,5,,,visual
molly1,Section the apple,Free the second section from the apple,"The operator repositions their left hand to cradle the larger body of the apple, presenting an uncut face toward the blade.",5,6,,,visual
molly1,Section the apple,Free the second section from the apple,"The operator holds the apple steady against their fingers and brings the knife blade down along the side of the core with their right hand, beginning to cut a section free.",6,8,,,visual
molly1,Section the apple,Free the second section from the apple,"The operator draws the blade down through the apple, separating a section, and lifts the two parts apart slightly to check the cut.",8,9,,,visual
molly1,Section the apple,Free the second section from the apple,"The operator rotates the apple in their left hand, presenting a new uncut face toward the knife.",9,11,,,visual
molly1,Section the apple,Free the second section from the apple,"The operator presses the knife blade straight down through the top of the piece in a single stroke, cutting another section away.",11,13,,,visual
molly1,Section the apple,Free the second section from the apple,"The operator pulls the newly cut section apart with their fingers, holding one part up while the other, larger section drops toward the board.",13,14,,,visual
molly1,Section the apple,Free the second section from the apple,"The operator sets the larger section down on the upper-left area of the board, skin side up, and keeps the smaller remaining section in hand.",14,15,,,visual
molly1,Cut slices from the section,Establish cutting technique,"The operator cuts the section into slices one piece at a time, starting from the bigger end, and avoids cutting from the other side because that makes it hard to clip properly and see the size of the cut being made.",12,16,,,narrated
molly1,Cut slices from the section,Cut slices from the section held in hand,"The operator cradles the section in their left hand with a brown blemish on its skin facing up, and presses the knife blade down through the near edge to cut a first slice, letting it drop toward the board.",16,20,the spot on the apple's skin appears to be frost rather than a bruise,dismissed,both
molly1,Cut slices from the section,Cut slices from the section held in hand,The operator rotates the section slightly against their curled fingers to present a fresh face and draws the blade down to cut a second slice.,20,24,,,visual
molly1,Cut slices from the section,Check cut sizes while cutting,"The operator checks both sides of the knife as she goes along, confirming each cut is the right size before making the next small cut.",24,32,,,narrated
molly1,Cut slices from the section,Cut slices from the section held in hand,"The operator steadies the section against their fingers and presses the blade straight down to cut a third slice, adding it to the small fan forming on the board.",24,28,,,visual
molly1,Cut slices from the section,Cut slices from the section held in hand,The operator turns the section again in their left hand and draws the knife through it with their right to cut a fourth slice.,28,32,,,visual
molly1,Cut slices from the section,Cut slices from the section held in hand,"The operator cuts a fifth slice from the section, guiding it off the blade to join the others fanned on the right side of the board.",32,36,,,visual
molly1,Cut slices from the section,Cut slices from the section held in hand,The operator holds the thinning section between thumb and fingers and cuts a sixth slice with a short downward stroke of the blade.,36,40,,,visual
molly1,Cut slices from the section,Cut slices from the section held in hand,The operator notices one cut starting to get bigger than the others but judges it still within tolerance and continues cutting the section the same way.,40,48,a cut starting to get bigger,dismissed,narrated
molly1,Cut slices from the section,Cut slices from the section held in hand,The operator repositions the shrinking section in their fingers and cuts a seventh slice free.,40,44,,,visual
molly1,Cut slices from the section,Cut slices from the section held in hand,"The operator cuts an eighth slice from the remaining section, adding it to the growing pile of slices in the upper right of the board.",44,48,,,visual
molly1,Cut slices from the section,Tidy the accumulating slices,The operator uses the flat of the knife blade to nudge the fanned slices into a tighter row on the board.,48,51,the cut slices are spreading unevenly across the board,adjusted,visual
molly1,Cut slices from the section,Cut slices from the section held in hand,The operator checks the cuts overall and judges them to be pretty even.,51,59,,,narrated
molly1,Cut slices from the section,Cut slices from the section held in hand,"The operator holds the small remaining wedge of the section between their fingers and cuts a ninth slice, drawing the blade down through it.",51,55,,,visual
molly1,Cut slices from the section,Cut slices from the section held in hand,"The operator cuts a tenth slice from the remaining sliver of the section, leaving only a small remnant in hand.",55,59,,,visual
molly1,Clear scrap and finish,Trim scrap from the remaining piece,"The operator pulls a thin white strip of scrap away from the remnant piece and sets it aside on the board, separate from the fanned slices.",59,61,,,visual
molly1,Clear scrap and finish,Trim scrap from the remaining piece,"The operator notices the remaining piece of the section getting too small to cut further, holds it up to inspect, and sets it down at the lower left of the board apart from the slices rather than cutting it.",61,63,the piece getting small on one side,adjusted,both
molly1,Clear scrap and finish,Conclude the slicing,The operator holds a final cut slice between their fingers and places it down among the others in the fanned pile.,63,65,,,visual
molly1,Clear scrap and finish,Conclude the slicing,"The operator withdraws both hands from the board, leaving the untouched first section, the scrap, and the fan of slices in place, with the knife resting to the right.",65,67,,,visual
molly2,Section the apple,Align and cut the first section,"The operator holds the apple in their left hand and holds the knife in their right hand beside it, positioning the blade against the side of the apple without yet cutting.",0,1,,,visual
molly2,Section the apple,Align and cut the first section,"The operator rotates the apple in their left hand so the stem points downward, repositioning it against the stationary blade held in their right hand.",1,2,,,visual
molly2,Section the apple,Align and cut the first section,"The operator presses the knife blade into the top of the apple beside the stem and draws it downward and inward, making one cut into the apple to start separating a section.",2,4,,,both
molly2,Section the apple,Align and cut the first section,"The operator continues drawing the blade down through the apple to the board, completing the cut and separating the first section from the core piece.",4,6,,,both
molly2,Section the apple,Inspect and set aside the core piece,"The operator lifts the core piece in their left hand and turns it to inspect the cut face for bruising, judging that it all looks pretty good.",6,7,checking for bruising,dismissed,both
molly2,Section the apple,Inspect and set aside the core piece,"The operator continues turning the core piece to inspect the cut face, still finding no concerning bruising, while the knife rests at the right edge of the board.",7,8,checking for bruising,dismissed,both
molly2,Section the apple,Inspect and set aside the core piece,The operator sets the core piece down at the top-left of the board and presses down on the newly cut section at the centre of the board with their right hand to steady it.,8,9,,,visual
molly2,Cut sections into slices,Trim and slice the first section,"The operator holds the section upright in their left hand and draws the knife down along one rounded edge, cutting away a thin scrap that falls onto the board.",9,12,,,visual
molly2,Cut sections into slices,Trim and slice the first section,"The operator repositions the section and draws the blade down along the opposite edge, cutting a second thin scrap free onto the board.",12,15,,,visual
molly2,Cut sections into slices,Trim and slice the first section,"The operator holds the section upright on its cut face and draws the blade down through it in a single stroke, cutting the first of what will be a lot of good slices.",15,16,,,both
molly2,Cut sections into slices,Trim and slice the first section,"The operator repositions the section slightly and draws the blade down again, cutting a second slice that joins the first in a fan shape.",16,17,,,both
molly2,Cut sections into slices,Trim and slice the first section,"The operator draws the blade down through the section once more, cutting a third slice and adding it to the fan on the board.",17,18,,,both
molly2,Cut sections into slices,Trim and slice the first section,The operator sweeps the fingers of their right hand across the fanned slices to straighten their arrangement before returning to the knife.,18,19,the cut slices are lying unevenly on the board,adjusted,visual
molly2,Cut sections into slices,Trim and slice the first section,"The operator draws the blade down through the section again, cutting a fourth slice onto the fan.",19,20,,,both
molly2,Cut sections into slices,Trim and slice the first section,"The operator cuts a fifth slice from the section, drawing the blade down in one stroke while bracing the section with their left hand.",20,21,,,both
molly2,Cut sections into slices,Trim and slice the first section,"The operator cuts a sixth slice from the remaining section, which has grown noticeably smaller in their left hand.",21,22,,,both
molly2,Maintaining knife and checking technique,Knife maintenance,"The operator lays the flat of the blade against the fanned slices and scrapes them together, using the motion as a quick check that the cutting is being done correctly.",22,23,checking that the slices are being cut correctly,adjusted,both
molly2,Cut sections into slices,Trim and slice the first section,"The operator draws the blade down through the last of the section, cutting a seventh slice.",23,24,,,both
molly2,Cut sections into slices,Trim and slice the first section,"The operator cuts an eighth slice from the final remnant of the section, holding the small remaining piece between their fingertips.",24,27,,,visual
molly2,Cut sections into slices,Trim and slice the first section,"The operator picks up the small leftover piece of the section, judges it too small to keep as a slice, and sets it aside at the far left edge of the board as scrap.",27,29,a little piece too small to take as a slice,adjusted,both
molly2,Cut sections into slices,Trim and slice the first section,The operator lays the flat of the blade against the fan of slices and aligns them at the right side of the board.,29,30,,,visual
molly2,Section the apple,Cut the second section from the core piece,"The operator lifts the core piece from the top-left of the board and turns it to present an uncut, rounded face to the blade, preparing to cut the apple into a big section again.",30,31,,,both
molly2,Section the apple,Cut the second section from the core piece,"The operator presses the knife into the top of the core piece and draws it downward, beginning to separate a new section.",31,32,,,both
molly2,Section the apple,Cut the second section from the core piece,"The operator completes the downward stroke, separating the new section from the core piece and setting the core piece down to the left on the board, taking care not to slice too close to the core.",32,33,avoiding cutting too close to the core,adjusted,both
molly2,Cut sections into slices,Trim and slice the second section,"The operator holds the new section in their left hand, cut face up, and draws the blade down along one edge, noticing a tiny bit of bruising and cutting away a thin scrap of skin in response.",33,35,a tiny bit of bruising on the section,adjusted,both
molly2,Cut sections into slices,Trim and slice the second section,"The operator repositions the section and draws the blade down along the opposite edge, cutting a second scrap free.",35,37,,,visual
molly2,Cut sections into slices,Trim and slice the second section,"The operator turns the section in their left hand and draws the blade down through it, trimming a further thin scrap and exposing more flesh.",37,39,,,visual
molly2,Cut sections into slices,Trim and slice the second section,"The operator continues trimming with a short downward draw of the blade, removing another sliver of skin from the section.",39,41,,,visual
molly2,Cut sections into slices,Trim and slice the second section,"The operator draws the blade down through the section once more, removing a final scrap and squaring off the section's shape.",41,43,,,visual
molly2,Cut sections into slices,Trim and slice the second section,"The operator holds the trimmed section upright in their left hand and draws the blade down through it, cutting the first slice and adding it to the fan on the right.",44,45,,,visual
molly2,Cut sections into slices,Trim and slice the second section,"The operator cuts a second slice from the section in the same manner, letting it fall against the growing fan.",45,47,,,visual
molly2,Handling bruised piece,Responding to bruising,"The operator inspects the cut face of the section and decides it is fine, having expected the bruising to be worse than it turned out to be.",46,55,expected the bruising to be worse,dismissed,narrated
molly2,Cut sections into slices,Trim and slice the second section,"The operator cuts a third slice from the section, repositioning it slightly in their left hand between strokes.",47,49,,,visual
molly2,Cut sections into slices,Trim and slice the second section,"The operator cuts a fourth slice from the section, drawing the blade down in a single stroke.",49,51,,,visual
molly2,Cut sections into slices,Trim and slice the second section,"The operator cuts a fifth slice from the section, which has become visibly smaller in their left hand.",51,53,,,visual
molly2,Cut sections into slices,Trim and slice the second section,"The operator cuts a sixth slice from the section, bracing the remaining piece against the board with their fingertips.",53,55,,,visual
molly2,Further inspection and slice judgment,Inspecting pieces,The operator inspects the remaining piece of the section and judges that it looks okay to continue slicing.,55,58,,,narrated
molly2,Cut sections into slices,Trim and slice the second section,"The operator cuts a seventh slice from the section, drawing the blade down in one continuous stroke.",55,57,,,visual
molly2,Cut sections into slices,Trim and slice the second section,"The operator cuts an eighth slice from the remaining section, holding it steady with their left hand.",57,59,,,visual
molly2,Further inspection and slice judgment,Judging slice thickness,The operator judges one of the slices cut from the thinning section to be too thin and decides not to keep it as product.,58,61,the slice was too thin,adjusted,narrated
molly2,Cut sections into slices,Trim and slice the second section,"The operator cuts a ninth slice from the section, the piece now reduced to a narrow wedge.",59,61,,,visual
molly2,Cut sections into slices,Trim and slice the second section,"The operator cuts a tenth slice from the section, drawing the blade down through the thinning piece.",61,63,,,visual
molly2,Cut sections into slices,Trim and slice the second section,"The operator cuts an eleventh slice from the diminishing section, holding the last of it pinched between their fingers.",63,65,,,visual
molly2,Cut sections into slices,Trim and slice the second section,"The operator cuts a twelfth and final slice from the remaining sliver of the section, completing the fan of slices.",65,67,,,visual
molly2,Concluding segment,Pausing for next run,"The operator sweeps the fan of slices together at the right side of the board and pauses, intending to do another run for these slices.",67,69,,,both
molly2,Concluding segment,Pausing for next run,"The operator sets the knife down across the lower part of the board and withdraws both hands, leaving the fan of slices, the scrap pieces, and the empty core piece in place.",69,71,,,visual
molly3,Preparation,Select apparatus and apple,The operator identifies the apple as red and confirms it is complete.,0,5,,,narrated
molly3,Preparation,Select apparatus and apple,"The operator holds the apple upright on the board with their left hand while bringing the knife into position at the right edge of the board with their right hand, getting the knife ready.",5,6,,,both
molly3,Cut a section from the apple,Steady the apple for the first cut,"The operator adjusts their left-hand grip on the apple, cupping their fingers near the stem, while angling the knife blade toward the apple's side with their right hand, making sure the apple is positioned flat for the cut.",6,7,the apple's stem sits in the path of a straight cut,adjusted,both
molly3,Cut a section from the apple,Steady the apple for the first cut,"The operator lifts their left hand off the apple and spreads their fingers, leaving the apple resting alone on the board while keeping the knife poised at the right edge with their right hand.",7,8,,,visual
molly3,Cut a section from the apple,Steady the apple for the first cut,"The operator returns their left hand to the top of the apple, cupping it near the stem, while bringing the knife blade down to the apple's shoulder with their right hand.",8,9,,,visual
molly3,Cut a section from the apple,Cut the first section free,"The operator presses the knife blade down into the apple beside the stem, angling the cut away from the core, while holding the apple steady with their left hand.",9,10,the stem blocks a cut straight through the top of the apple,adjusted,visual
molly3,Cut a section from the apple,Cut the first section free,"The operator draws the blade straight down through the apple in a single stroke, pinning the apple to the board with the fingers of their left hand, cutting one big section free.",10,11,,,both
molly3,Cut a section from the apple,Cut the first section free,"The operator completes the downward stroke, separating a section from the side of the apple and exposing its pale flesh, while their left hand continues to hold the core piece steady on the board.",11,12,,,both
molly3,Divide the section into smaller pieces,Trim a piece from the separated section,The operator holds the core piece cut-face-up in their left hand at the top of the board while pressing the knife down through the separated section held at the center of the board with their right hand.,12,13,,,visual
molly3,Divide the section into smaller pieces,Trim a piece from the separated section,"The operator lifts the freshly cut piece with their right hand and sets it aside as scrap in the top right corner of the board, then repositions the remaining piece of the section at the center of the board with their left hand.",13,14,the section shows a weird bruising,adjusted,both
molly3,Divide the section into smaller pieces,Cut the working piece down further,"The operator grips the remaining piece of the section upright between the finger and thumb of their left hand while bringing the knife blade to its top edge with their right hand, making sure the blade is against the apple.",14,15,,,both
molly3,Divide the section into smaller pieces,Cut the working piece down further,"The operator presses the blade down through the piece in a single stroke, steadying it against the board with their left hand.",15,16,,,visual
molly3,Divide the section into smaller pieces,Cut the working piece down further,"The operator continues the downward stroke, separating a triangular scrap from the piece held in their left hand.",16,17,the section shows a weird bruising,adjusted,both
molly3,Divide the section into smaller pieces,Cut the working piece down further,The operator lifts the freshly cut triangular scrap with their right hand and sets it beside the earlier scrap in the top right corner of the board.,17,18,,,visual
molly3,Cut slices from the remaining piece,Position the piece for slicing,"The operator picks up the small remaining piece of the section from the center of the board and holds it upright in their left hand, positioning the knife at its top edge with their right hand.",19,20,,,visual
molly3,Cut slices from the remaining piece,Cut a series of slices,"The operator presses the blade down through the piece in a single stroke, cutting a slice free while holding the piece steady in their left hand.",20,23,,,both
molly3,Cut slices from the remaining piece,Cut a series of slices,"The operator presses the blade down through the piece again, cutting a second slice, keeping the same left-hand grip on the shrinking piece.",23,25,,,both
molly3,Cut slices from the remaining piece,Cut a series of slices,"The operator cuts a third slice from the piece with a straight downward stroke, pinning the piece to the board with the fingers of their left hand.",25,27,,,both
molly3,Cut slices from the remaining piece,Cut a series of slices,"The operator repositions the piece slightly between the finger and thumb of their left hand and presses the blade down again, cutting a fourth slice.",27,29,,,both
molly3,Cut slices from the remaining piece,Cut a series of slices,"The operator draws the blade fully down through the piece with their right hand, cutting a fifth slice while their left hand keeps the piece steady.",29,31,,,both
molly3,Cut slices from the remaining piece,Cut a series of slices,"The operator cuts a sixth slice from the piece, holding the now-thin remainder upright between the fingers of their left hand.",31,33,,,both
molly3,Cut slices from the remaining piece,Cut a series of slices,"The operator cuts a seventh and final slice from the remaining sliver of the piece, leaving little more than skin and a thin scrap in their left hand.",33,34,the piece being a little too small,dismissed,both
molly3,Cut slices from the remaining piece,Arrange the cut slices on the board,"The operator fans the cut slices out to the right of the working area, nudging them into a row with the flat of the knife and the fingers of their left hand.",34,35,,,visual
molly3,Cut slices from the remaining piece,Arrange the cut slices on the board,The operator nudges an individual slice into line with the others using the fingers of their left hand.,35,36,,,visual
molly3,Cut slices from the remaining piece,Arrange the cut slices on the board,"The operator picks up a thin curved scrap from beside the row of slices with their left hand, judging it actually too thin to count as a usable slice.",36,37,the piece actually being too thin,adjusted,both
molly3,Cut slices from the remaining piece,Arrange the cut slices on the board,The operator sets the scrap down away from the fanned slices near the left side of the board.,37,38,,,visual
molly3,Completion,Conclude apple,The operator states that this is the end of this apple.,37,39,,,narrated
molly3,Clear the board,Remove the parked corner piece,The operator reaches with their left hand toward the scraps resting in the top right corner of the board.,38,39,,,visual
molly3,Clear the board,Remove the parked corner piece,"The operator lifts the corner scrap with both hands and carries it beyond the top edge of the board, out of the working area.",39,40,,,visual
molly3,Clear the board,Remove remaining scrap and pieces,"The operator brings their right hand back across the board toward the remaining slices, laying the knife flat near the bottom edge of the board.",40,41,,,visual
molly3,Clear the board,Remove remaining scrap and pieces,The operator gathers the pile of cut slices at the right side of the board with the fingers of their right hand.,41,42,,,visual
molly3,Clear the board,Remove remaining scrap and pieces,The operator lifts the thin curved scrap from beside the knife with their right hand and carries it off the right edge of the board.,42,44,,,visual
molly3,Clear the board,Remove remaining scrap and pieces,The operator lifts the core piece from the top left of the board with their right hand and carries it off the top edge of the board.,44,45,,,visual
molly3,Clear the board,Remove remaining scrap and pieces,"The operator sweeps the last remaining slice off the board with their right hand, leaving the board bare except for the knife.",45,46,,,visual
molly3,Clear the board,Remove remaining scrap and pieces,The operator sets the knife down flat near the bottom right corner of the now-empty board.,46,47,,,visual
tori,Inspecting apple,Assessing surface condition,"The operator notices a weird patch on the apple's skin, identifies it as frost burn, and decides it will not affect the cutting.",0,2,weird patch that looks like frost burn,dismissed,narrated
tori,Remove the core piece and cut the first section,Position the apple for cutting,"The operator brings the apple onto the board with the left hand while the right hand holds the knife off to the side, blade angled down and away from the fruit.",2,3,,,visual
tori,Remove the core piece and cut the first section,Position the apple for cutting,"The operator cradles the apple upright against the board with the left hand and brings the knife blade into contact with its upper edge with the right hand, aligning the cut beside the core.",3,4,,,visual
tori,Remove the core piece and cut the first section,Cut the first section free,"The operator withdraws the blade slightly and realigns it against the side of the apple, keeping the fruit held upright in the left hand.",4,6,,,visual
tori,Remove the core piece and cut the first section,Cut the first section free,"The operator draws the knife blade down through the apple in a continuous stroke with the right hand, cutting a section free beside the core, effectively cutting the apple in half.",6,9,,,both
tori,Remove the core piece and cut the first section,Cut the first section free,"The operator lifts the knife away with the right hand while lifting the freed section clear with the left hand, leaving the core piece and the cut section resting on the board.",9,11,,,visual
tori,Remove the core piece and cut the first section,Set the core piece aside,"The operator sets the core piece down at the top-left corner of the board and picks the freed section back up with the left hand, positioning it upright for the next cut.",11,12,,,visual
tori,Cut and slice the second section,Cut a second section from the piece,"The operator holds the section upright on the board with the left hand and draws the knife down through its upper portion with the right hand, separating a second section, cutting the apple again in a different way than before.",12,15,,,both
tori,Cut and slice the second section,Slice the second section,"The operator holds the section upright with the left hand and draws the knife down through it in a single stroke, cutting the first slice onto the board.",15,16,,,visual
tori,Cut and slice the second section,Slice the second section,"The operator cuts a second slice from the section with the same drawing motion, adding it to the row of slices to the left.",16,17,,,visual
tori,Cut and slice the second section,Slice the second section,"The operator cuts a third slice from the section, steadying the shrinking piece with the left hand fingers.",17,18,,,visual
tori,Cut and slice the second section,Slice the second section,The operator cuts a fourth slice from the section.,18,19,,,visual
tori,Cut and slice the second section,Slice the second section,"The operator, with the section reduced to a thin remainder, cuts two slices together in one stroke and pushes them free with the flat of the blade, noting that the piece is a little too thin but continuing without changing the approach.",19,20,piece is a little too thin,dismissed,both
tori,Cut and slice the second section,Slice the second section,"The operator cuts a final slice from the remaining nub of the section, clearing it from the board.",20,21,,,visual
tori,Cut and slice the third section,Cut a third section from the remaining piece,"The operator repositions the remaining bulk of the piece with the left hand, deciding to cut from this side instead, and draws the knife through it with the right hand, separating a third section.",21,23,decided to cut from a different side of the piece,adjusted,both
tori,Cut and slice the third section,Slice the third section,"The operator cuts a first slice from the third section, holding it upright with the left hand.",23,24,,,visual
tori,Cut and slice the third section,Slice the third section,"The operator cuts a second slice from the section, adding it to the row of slices.",24,25,,,visual
tori,Cut and slice the third section,Slice the third section,The operator cuts a third slice from the section.,25,26,,,visual
tori,Cut and slice the third section,Slice the third section,The operator cuts a fourth slice from the section.,26,27,,,visual
tori,Cut and slice the third section,Slice the third section,"The operator cuts a fifth slice from the section, pushing the growing row of slices to the left with the flat of the blade.",27,28,,,visual
tori,Cut and slice the third section,Slice the third section,"The operator cuts the final slice from the third section, clearing the remainder from the board.",28,30,,,visual
tori,Cut and slice the final section,Cut the final section,"The operator holds the diminished remainder of the piece with the left hand and draws the knife through it, separating one last small section.",30,32,,,visual
tori,Cut and slice the final section,Slice the final section and clear scrap,"The operator cuts a thin slice from the final section, holding it steady with the left hand fingers.",32,33,,,visual
tori,Cut and slice the final section,Slice the final section and clear scrap,"The operator sets a small leftover scrap piece at the top-left corner of the board, apart from the sliced product, judging it too small and irregular to yield a further usable slice.",33,34,the leftover piece is too small and irregular to yield a further usable slice,adjusted,visual
tori,Cut and slice the final section,Slice the final section and clear scrap,"The operator gathers the cut slices together with both hands, pressing them into a compact row near the top-left of the board.",34,36,,,visual
tori,Cut and slice the final section,Slice the final section and clear scrap,"The operator sets the knife down on the board to the right, concluding the cutting sequence and finishing the apple.",36,37,,,both
tori,Conclude the session,Leave the finished board,"The operator withdraws both hands from the board, leaving the core piece, a scrap piece, and the knife resting in place.",37,41,,,visual
